relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
4,0,3,5,0.0,0,20.0,0.0,0.0,65,0.0,20.0,0
2,0,7,4,0.0,50,47.0,1.0,5.0,0,1.0,47.0,0
1,1,5,1,4.0,110,1.0,1.0,5.0,3,0.0,3.0,7
1,1,5,1,0.0,152,22.0,0.0,1.0,88,0.0,22.0,7
2,0,1,0,0.0,80,51.0,1.0,6.0,2,2.0,51.0,9
2,0,0,0,2.0,85,24.0,3.0,2.0,65,2.0,24.0,1
0,1,6,4,4.0,190,50.0,1.0,5.0,5,0.0,50.0,3
2,1,0,0,0.0,0,30.0,0.0,0.0,83,0.0,30.0,2
2,1,0,0,0.0,163,27.0,1.0,6.0,5,4.0,27.0,2
2,1,2,0,0.0,90,64.0,1.0,3.0,2,2.0,12.0,6
2,1,0,0,2.0,127,10.0,1.0,3.0,1,0.0,10.0,2
0,0,6,2,1.0,85,3.0,2.0,2.0,100,1.0,3.0,8
2,0,0,0,2.0,157,65.0,1.0,6.0,3,0.0,65.0,1
0,0,9,4,0.0,95,27.0,1.0,5.0,3,1.0,27.0,8
0,0,5,5,0.0,192,11.0,0.0,1.0,48,0.0,11.0,8
0,1,7,2,0.0,101,9.0,1.0,5.0,3,1.0,9.0,3
0,0,8,4,1.0,220,7.0,1.0,3.0,3,0.0,7.0,5
2,0,3,7,0.0,0,27.0,0.0,0.0,60,0.0,27.0,0
2,1,4,3,4.0,108,41.0,8.0,2.0,14,4.0,41.0,6
0,0,6,4,1.0,190,53.0,1.0,5.0,2,0.0,53.0,8
0,0,11,8,4.0,150,13.0,5.0,2.0,20,4.0,13.0,8
2,0,0,0,4.0,178,23.0,4.0,2.0,14,4.0,23.0,1
2,0,1,0,0.0,78,58.0,1.0,4.0,4,2.0,58.0,9
1,1,10,1,4.0,137,27.0,6.0,2.0,15,4.0,27.0,7
2,1,0,0,0.0,85,51.0,1.0,3.0,2,2.0,51.0,2
1,1,6,8,0.0,200,56.0,0.0,1.0,40,0.0,56.0,7
2,0,0,0,2.0,129,22.0,1.0,3.0,1,4.0,22.0,1
1,1,6,1,4.0,101,46.0,8.0,2.0,22,4.0,46.0,7
2,0,0,0,0.0,133,10.0,0.0,2.0,7,0.0,10.0,1
0,0,10,3,0.0,0,44.0,0.0,0.0,82,0.0,44.0,8
2,0,0,0,2.0,128,18.0,1.0,3.0,2,0.0,18.0,1
1,1,7,5,1.0,175,24.0,1.0,5.0,5,0.0,23.0,7
0,0,5,5,4.0,132,2.0,1.0,3.0,6,1.0,2.0,8
1,1,7,1,0.0,108,16.0,0.0,2.0,43,0.0,16.0,7
2,1,0,0,0.0,82,8.0,1.0,3.0,3,2.0,8.0,2
0,0,7,3,1.0,195,0.0,1.0,4.0,13,0.0,53.0,4
2,0,0,0,0.0,150,20.0,1.0,3.0,2,4.0,20.0,1
2,0,4,1,0.0,200,24.0,0.0,1.0,40,0.0,24.0,0
0,0,10,2,4.0,72,20.0,8.0,2.0,48,4.0,20.0,8
0,1,7,3,0.0,0,5.0,0.0,0.0,152,0.0,5.0,3
0,0,10,8,1.0,72,16.0,2.0,2.0,118,1.0,16.0,8
2,0,4,1,0.0,75,71.0,1.0,4.0,25,4.0,41.0,0
2,0,0,0,4.0,142,18.0,4.0,2.0,6,4.0,18.0,1
1,1,9,1,4.0,150,20.0,1.0,6.0,5,0.0,20.0,7
2,0,1,0,0.0,70,32.0,1.0,3.0,2,2.0,32.0,9
1,1,4,1,0.0,113,38.0,1.0,6.0,2,4.0,38.0,7
0,0,7,3,0.0,122,32.0,0.0,2.0,28,0.0,32.0,4
2,1,1,0,0.0,0,31.0,0.0,0.0,72,0.0,31.0,6
0,0,5,5,1.0,80,29.0,2.0,2.0,120,1.0,29.0,8
1,0,9,8,4.0,111,15.0,8.0,2.0,17,4.0,15.0,0
1,1,4,1,0.0,147,30.0,0.0,1.0,93,0.0,30.0,7
2,0,0,0,4.0,152,45.0,4.0,2.0,28,4.0,45.0,1
0,1,9,1,0.0,80,22.0,1.0,4.0,5,4.0,22.0,3
2,0,0,0,0.0,80,45.0,1.0,3.0,1,2.0,45.0,1
0,1,11,1,4.0,106,16.0,4.0,2.0,24,4.0,16.0,3
0,0,6,2,0.0,237,53.0,0.0,1.0,3,0.0,53.0,8
1,1,5,8,1.0,82,32.0,2.0,2.0,118,1.0,32.0,7
3,0,10,1,4.0,155,24.0,6.0,2.0,35,4.0,24.0,0
0,0,9,6,0.0,0,73.0,0.0,0.0,140,0.0,73.0,8
1,1,7,3,0.0,0,21.0,0.0,0.0,81,0.0,21.0,7
0,0,9,8,0.0,87,10.0,1.0,3.0,3,1.0,10.0,8
0,0,11,1,4.0,160,21.0,1.0,4.0,10,0.0,19.0,8
2,1,0,0,0.0,0,27.0,0.0,0.0,78,0.0,27.0,2
0,1,6,1,4.0,152,20.0,6.0,2.0,28,4.0,20.0,3
0,0,7,6,1.0,107,67.0,2.0,2.0,73,1.0,67.0,4
0,0,4,3,1.0,82,38.0,2.0,2.0,38,1.0,38.0,8
0,0,5,7,1.0,55,29.0,2.0,2.0,117,1.0,29.0,4
0,1,11,8,0.0,103,71.0,1.0,4.0,7,4.0,71.0,3
1,1,11,1,0.0,0,4.0,0.0,0.0,90,0.0,4.0,7
2,0,3,4,0.0,0,6.0,0.0,0.0,110,0.0,6.0,0
0,0,4,2,1.0,88,22.0,2.0,2.0,57,1.0,22.0,8
1,1,6,1,4.0,82,43.0,8.0,2.0,126,4.0,43.0,7
0,0,9,2,0.0,0,23.0,0.0,0.0,90,0.0,23.0,8
0,0,5,4,0.0,65,5.0,1.0,4.0,15,1.0,23.0,8
1,1,6,5,0.0,0,24.0,0.0,0.0,79,0.0,24.0,7
0,0,8,4,0.0,90,40.0,1.0,3.0,5,1.0,40.0,5
1,1,6,4,1.0,102,49.0,2.0,2.0,63,1.0,49.0,7
2,1,1,0,0.0,78,50.0,1.0,3.0,3,2.0,50.0,6
0,0,9,5,0.0,91,36.0,1.0,7.0,1,1.0,36.0,8
2,1,1,0,2.0,155,23.0,1.0,4.0,5,0.0,23.0,6
1,1,6,1,0.0,100,38.0,1.0,5.0,9,4.0,38.0,7
2,0,1,0,2.0,82,17.0,3.0,2.0,85,2.0,17.0,9
1,1,9,1,4.0,160,16.0,1.0,3.0,2,0.0,16.0,7
0,0,5,2,0.0,80,15.0,1.0,4.0,4,1.0,15.0,8
0,0,5,7,1.0,87,7.0,2.0,2.0,23,1.0,7.0,4
0,0,7,8,0.0,0,29.0,0.0,0.0,82,0.0,29.0,4
0,0,7,3,0.0,0,45.0,0.0,0.0,110,0.0,45.0,4
1,1,8,1,0.0,112,28.0,1.0,3.0,13,4.0,28.0,7
0,0,8,6,4.0,133,42.0,7.0,5.0,5,4.0,72.0,5
2,0,0,0,2.0,82,28.0,3.0,2.0,63,2.0,28.0,1
1,1,5,3,1.0,165,13.0,2.0,2.0,25,1.0,13.0,7
2,0,1,0,0.0,178,4.0,0.0,1.0,62,0.0,4.0,9
1,1,6,1,4.0,118,53.0,1.0,3.0,2,0.0,53.0,7
2,0,1,0,4.0,232,30.0,1.0,3.0,3,0.0,30.0,9
2,1,0,0,0.0,82,62.0,1.0,3.0,1,2.0,62.0,2
0,1,9,8,4.0,222,45.0,1.0,4.0,10,0.0,45.0,3
1,1,7,1,4.0,183,59.0,1.0,4.0,4,0.0,59.0,7
1,1,9,5,0.0,105,17.0,1.0,3.0,1,1.0,17.0,7
0,0,6,5,4.0,185,45.0,1.0,5.0,7,0.0,32.0,8
2,0,6,5,0.0,136,25.0,0.0,1.0,104,0.0,25.0,0
1,1,5,7,0.0,80,4.0,1.0,3.0,2,4.0,4.0,7
0,0,8,3,0.0,202,61.0,0.0,1.0,38,0.0,61.0,5
0,0,8,8,4.0,73,25.0,8.0,2.0,97,4.0,25.0,5
0,0,7,7,0.0,60,31.0,1.0,4.0,5,1.0,31.0,4
0,1,11,8,0.0,80,64.0,0.0,2.0,12,0.0,64.0,3
1,0,8,5,1.0,80,26.0,2.0,2.0,65,1.0,26.0,5
0,0,6,5,1.0,85,66.0,2.0,2.0,90,1.0,66.0,8
1,1,10,1,4.0,202,30.0,5.0,2.0,6,4.0,30.0,7
1,1,8,4,0.0,95,22.0,1.0,4.0,5,1.0,22.0,7
0,1,12,1,0.0,185,27.0,0.0,1.0,55,0.0,27.0,3
2,0,0,0,2.0,140,36.0,1.0,3.0,5,0.0,36.0,1
1,1,6,1,4.0,115,70.0,8.0,2.0,10,4.0,70.0,7
2,1,1,0,4.0,195,53.0,1.0,3.0,3,0.0,53.0,6
2,0,0,0,4.0,171,15.0,1.0,6.0,3,0.0,15.0,1
0,0,6,8,0.0,192,51.0,0.0,1.0,48,0.0,51.0,8
0,0,6,7,1.0,85,17.0,2.0,2.0,105,1.0,17.0,4
2,1,0,0,2.0,143,66.0,1.0,6.0,12,4.0,41.0,2
0,0,7,5,0.0,80,23.0,1.0,4.0,3,1.0,22.0,4
0,0,5,4,1.0,220,2.0,1.0,5.0,10,0.0,6.0,8
2,0,3,0,0.0,238,24.0,0.0,1.0,2,0.0,24.0,1
0,0,6,7,0.0,73,47.0,1.0,5.0,4,1.0,47.0,4
2,0,1,0,0.0,225,1.0,0.0,1.0,15,0.0,1.0,9
1,1,6,3,4.0,135,59.0,2.0,2.0,78,4.0,59.0,7
4,1,5,5,1.0,85,15.0,2.0,2.0,107,1.0,15.0,3
2,0,0,0,0.0,84,24.0,1.0,3.0,1,2.0,24.0,1
